name,search_query,sub_category,address_raw,lat,lon
강원도 혹한기 칼바람 뚫고속초찐맛집 찾아냈습니다,03.03 강원도 혹한기 칼바람 뚫고속초찐맛집 찾아냈습니다,또간집,03.03,,
"맛집 없다는코엑스에서 찐맛집 찾았습니다(BTS정국,정우성,전지현,수지맛집..?)","03.17 맛집 없다는코엑스에서 찐맛집 찾았습니다(BTS정국,정우성,전지현,수지맛집..?)",또간집,03.17,,
풍자가 30번 넘게 간 강원도원주찐맛집 공개,03.31 풍자가 30번 넘게 간 강원도원주찐맛집 공개,또간집,03.31,,
사대문 1등 매운맛북촌에서 찾았습니다,04.14 사대문 1등 매운맛북촌에서 찾았습니다,또간집,04.14,,
제주도민들은 여기만 갑니다.육지것들은 모르는 제주 찐로컬 맛집,04.28 제주도민들은 여기만 갑니다.육지것들은 모르는 제주 찐로컬 맛집,또간집,04.28,,
제주도민도 오픈런하는서귀포찐맛집 제주 2탄,05.12 제주도민도 오픈런하는서귀포찐맛집 제주 2탄,또간집,05.12,,
또간집 최초 해외 출격✈️홍콩맛집 다 쓸었습니다,05.26 또간집 최초 해외 출격✈️홍콩맛집 다 쓸었습니다,또간집,05.26,,
"한강, 더현대 비켜✋여의도찐맛집 던전 찾았다","06.09 한강, 더현대 비켜✋여의도찐맛집 던전 찾았다",또간집,06.09,,
대학로연극보다 폼 미친 찐맛집,06.23 대학로연극보다 폼 미친 찐맛집,또간집,06.23,,
긴급편성) 풍자 실물 논란 해명합니다.,07.07 긴급편성) 풍자 실물 논란 해명합니다.,또간집,07.07,,
맛부심 쩌는전주에서 입터진 풍자,07.21 맛부심 쩌는전주에서 입터진 풍자,또간집,07.21,,
경주에서는 땅 파면 유물도 나오고 맛집도 나오나요?⛏️ 역대급 맛집 발굴기,08.04 경주에서는 땅 파면 유물도 나오고 맛집도 나오나요?⛏️ 역대급 맛집 발굴기,또간집,08.04,,
마! 내 또 왔데이👋부산토박이들의 찐맛집 복수혈전🍴,08.18 마! 내 또 왔데이👋부산토박이들의 찐맛집 복수혈전🍴,또간집,08.18,,
건대헌팅포차 말고 뭐 있음? 건대생들만 아는 찐맛집 공개🔥,09.01 건대헌팅포차 말고 뭐 있음? 건대생들만 아는 찐맛집 공개🔥,또간집,09.01,,
"에버랜드, 푸바오만 찾아서 미안합니다.. 풍자 울려버린용인근본 맛집","09.15 에버랜드, 푸바오만 찾아서 미안합니다.. 풍자 울려버린용인근본 맛집",또간집,09.15,,
"(속보) 풍자, 또간집 사칭범 공개수배합니다.","09.28 (속보) 풍자, 또간집 사칭범 공개수배합니다.",또간집,09.28,,
풍자+방시혁 더블체크 된합정찐맛집 찾았습니다.. (feat. 시혁님.. 맛집리스트 공유해주세요..),10.06 풍자+방시혁 더블체크 된합정찐맛집 찾았습니다.. (feat. 시혁님.. 맛집리스트 공유해주세요..),또간집,10.06,,
여수게장 1티어 맛집 찾았다.. 여수밤바다 낭만포차 게 섰거라🦀,10.20 여수게장 1티어 맛집 찾았다.. 여수밤바다 낭만포차 게 섰거라🦀,또간집,10.20,,
순천만습지 못 가도 여긴 꼭 가세요👉순천로컬들만 아는 히든 맛집,11.03 순천만습지 못 가도 여긴 꼭 가세요👉순천로컬들만 아는 히든 맛집,또간집,11.03,,
🚨풍자 긴급출동🚨구디단살릴 직장인 맛집 찾았습니다,11.17 🚨풍자 긴급출동🚨구디단살릴 직장인 맛집 찾았습니다,또간집,11.17,,
한국인 없는 현지인 추천방콕맛집 털어왔습니다🇹🇭 (블랙핑크 리사의 태국 또간집까지👀),12.01 한국인 없는 현지인 추천방콕맛집 털어왔습니다🇹🇭 (블랙핑크 리사의 태국 또간집까지👀),또간집,12.01,,
이걸 다먹었다고?! 🇹🇭방콕 야시장에서 역대급 폭주한 풍자,12.15 이걸 다먹었다고?! 🇹🇭방콕 야시장에서 역대급 폭주한 풍자,또간집,12.15,,
맛집 성지종로에서 역대급 오래된 또간집 찾았습니다.. 2023년 맛집 종결,12.29 맛집 성지종로에서 역대급 오래된 또간집 찾았습니다.. 2023년 맛집 종결,또간집,12.29,,
과메기의 도시포항에서 의외로 제일 맛있다는 ‘이것?’ 전국 압도 포항 맛집,01.12 과메기의 도시포항에서 의외로 제일 맛있다는 ‘이것?’ 전국 압도 포항 맛집,또간집,01.12,,
드디어 왔습니다.. GDP 1등 도시(한소희 피셜)울산에서 1등 맛집 찾았습니다.,01.26 드디어 왔습니다.. GDP 1등 도시(한소희 피셜)울산에서 1등 맛집 찾았습니다.,또간집,01.26,,
곱창하면 이젠 무.조.건.왕십리입니다..내장 파괴력 풀가동한 풍자,02.16 곱창하면 이젠 무.조.건.왕십리입니다..내장 파괴력 풀가동한 풍자,또간집,02.16,,
