route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,road_id,is_wide_road,safety_index
가로공원로(남측),서울특별시,강서구,서울특별시 강서구 화곡1동 379-48,,,,,,0.25,2.0,,1,가로공원로(남측)_강서구,1,0.0474
돌곶이로40길,서울특별시,성북구,서울특별시 성북구 장위동 180-5,,37.62046473,127.0491616,37.61898673,127.0465289,0.3,1.5,,0,돌곶이로40길_성북구,0,0.0359
돌곶이로(남측),서울특별시,성북구,서울특별시 성북구 장위동 215-1,,37.6182874,127.0465041,37.61666802,127.0490186,1.2,1.5,,0,돌곶이로(남측)_성북구,0,0.0386
돌곶이로(북측),서울특별시,성북구,서울특별시 성북구 장위동 237-78,,37.61680428,127.0496098,37.62144228,127.0463268,0.9,1.5,,0,돌곶이로(북측)_성북구,0,0.0377
돌곶이로,서울특별시,성북구,서울특별시 성북구 장위동 215-1,,37.6182874,127.0465041,37.61927632,127.0448898,0.2,1.1,,0,돌곶이로_성북구,0,0.0262
고려대로24길,서울특별시,성북구,서울특별시 성북구 안암동5가 104-291,,37.58304035,127.0291216,37.58596858,127.0294962,3.5,3.5,,0,고려대로24길_성북구,1,0.0921
성북천(고려대로5길),서울특별시,성북구,서울특별시 성북구 보문동1가 1-1,,37.58841771,127.018643,37.58998021,127.0162155,0.3,2.2,,0,성북천(고려대로5길)_성북구,1,0.0522
월곡로,서울특별시,성북구,서울특별시 성북구 종암동 7-10,,37.59472384,127.0381204,37.59881357,127.0401781,0.81,1.5,,0,월곡로_성북구,0,0.0374
한천로66길(동측),서울특별시,성북구,서울특별시 성북구 석관동 석관지하보차도 서단,,,,37.61460565,127.0657239,0.65,1.5,,0,한천로66길(동측)_성북구,0,0.0369
한천로66길(서측),서울특별시,성북구,서울특별시 성북구 석관동 375-29,,37.61460565,127.0657239,37.60814014,127.0667131,0.65,1.5,,0,한천로66길(서측)_성북구,0,0.0369
석관지하보차도,서울특별시,성북구,서울특별시 성북구 석관동 석관지하보차도 서단,,,,,,0.31,2.2,,0,석관지하보차도_성북구,1,0.0522
가람로(분기2),경기도,파주시,경기도 파주시 와동동 784-1,,,,,,0.69,1.5,,0,가람로(분기2)_파주시,0,0.037
가람로(분기1),경기도,파주시,경기도 파주시 와동동 979,,,,,,2.91,1.5,,0,가람로(분기1)_파주시,0,0.0437
가람로,경기도,파주시,경기도 파주시 와동동 1555,,,,,,3.13,1.5,,0,가람로_파주시,0,0.0444
가나무로(2),경기도,파주시,경기도 파주시 금촌동 228-4,,,,,,2.51,1.5,,0,가나무로(2)_파주시,0,0.0425
가나무로(1),경기도,파주시,경기도 파주시 금촌동 972,,,,,,0.29,1.8,,0,가나무로(1)_파주시,0,0.0428
숭인로(북측),서울특별시,성북구,서울특별시 성북구 길음동 32-12,,37.61175734,127.0296414,37.61175734,127.0296414,0.24,1.2,,0,숭인로(북측)_성북구,0,0.0287
숭인로(남측),서울특별시,성북구,서울특별시 성북구 길음동 485-14,,37.61232898,127.0290375,37.60935341,127.0249739,0.39,1.2,,0,숭인로(남측)_성북구,0,0.0291
숭인로8길(북측),서울특별시,성북구,서울특별시 성북구 길음동 1289,,37.60784662,127.0256314,37.61084536,127.0270183,0.46,1.2,,0,숭인로8길(북측)_성북구,0,0.0294
숭인로8길(남측),서울특별시,성북구,서울특별시 성북구 길음동 1278,,37.61178261,127.0238796,37.60784662,127.0256314,0.46,1.2,,0,숭인로8길(남측)_성북구,0,0.0294
동소문로47가길(서측),서울특별시,성북구,서울특별시 성북구 길음동 1289,,37.60784662,127.0256314,37.60689004,127.0263731,0.32,1.2,,0,동소문로47가길(서측)_성북구,0,0.0289
동소문로47가길(동측),서울특별시,성북구,서울특별시 성북구 길음동 1289-13,,37.60689004,127.0263731,37.60784662,127.0256314,0.32,1.2,,0,동소문로47가길(동측)_성북구,0,0.0289
고려대로24길,서울특별시,성북구,서울특별시 성북구 안암동5가 104-71,,37.5826996,127.0291277,37.5866277,127.0289451,0.35,3.5,,0,고려대로24길_성북구,1,0.0827
장월로37길(북측),서울특별시,성북구,서울특별시 성북구 장위동 320-2,,37.62041504,127.0498681,37.61747619,127.0522071,0.4,1.6,,0,장월로37길(북측)_성북구,0,0.0385
장월로37길(남측),서울특별시,성북구,서울특별시 성북구 장위동 141-13,,37.61747619,127.0522071,37.62041504,127.0498681,0.4,1.6,,0,장월로37길(남측)_성북구,0,0.0385
장월로(북측),서울특별시,성북구,서울특별시 성북구 장위동 237-268,,37.61666802,127.0490186,37.61942694,127.0537727,0.5,2.2,,0,장월로(북측)_성북구,1,0.0528
장월로(남측),서울특별시,성북구,서울특별시 성북구 장위동 275-18,,37.61942694,127.0537727,37.61666802,127.0490186,0.5,1.5,,0,장월로(남측)_성북구,0,0.0365
장위동 한천로(북측),서울특별시,성북구,서울특별시 성북구 장위동 165-3,,37.62190944,127.0515453,37.61754444,127.0550821,0.55,1.5,,0,장위동 한천로(북측)_성북구,0,0.0366
장위동 한천로(남측),서울특별시,성북구,서울특별시 성북구 장위동 165-3,,37.62190944,127.0515453,37.61754444,127.0550821,0.55,1.5,,0,장위동 한천로(남측)_성북구,0,0.0366
한천로99길,서울특별시,성북구,서울특별시 성북구 장위동 215-1,,37.6182874,127.0465041,37.62190944,127.0515453,0.6,1.5,,0,한천로99길_성북구,0,0.0368
가람로150번길(2),경기도,파주시,경기도 파주시 와동동 1515,,,,,,1.62,1.5,,0,가람로150번길(2)_파주시,0,0.0398
가람로150번길(1),경기도,파주시,경기도 파주시 와동동 1486,,,,,,0.94,2.0,,0,가람로150번길(1)_파주시,1,0.0495
가람로134번길,경기도,파주시,경기도 파주시 와동동 1519,,,,,,0.99,2.0,,0,가람로134번길_파주시,1,0.0496
가람로116번길(2),경기도,파주시,경기도 파주시 와동동 1486,,,,,,1.46,2.0,,0,가람로116번길(2)_파주시,1,0.051
가람로116번길(1),경기도,파주시,경기도 파주시 와동동 1487,,,,,,0.97,2.0,,0,가람로116번길(1)_파주시,1,0.0495
동서대로(1),경기도,파주시,경기도 파주시 동패동 2056,,,,,,0.21,2.0,,0,동서대로(1)_파주시,1,0.0473
돈유로,경기도,파주시,경기도 파주시 파주읍 향양리 709-2,,,,,,2.14,1.5,,0,돈유로_파주시,0,0.0414
돈유3로,경기도,파주시,경기도 파주시 문산읍 선유리 1373-1,,,,,,0.99,1.5,,0,돈유3로_파주시,0,0.0379
돈유2로(2),경기도,파주시,경기도 파주시 문산읍 선유리 1372,,,,,,1.6,1.5,,0,돈유2로(2)_파주시,0,0.0398
돈유2로(1),경기도,파주시,경기도 파주시 문산읍 선유리 1373-14,,,,,,3.44,1.5,,0,돈유2로(1)_파주시,0,0.0453
돈유1로,경기도,파주시,경기도 파주시 파주읍 향양리 708-3,,,,,,0.92,1.5,,0,돈유1로_파주시,0,0.0377
대원로,경기도,파주시,경기도 파주시 조리읍 대원리 227-1,,,,,,0.62,1.5,,0,대원로_파주시,0,0.0368
