name,category,sub_category,sido,address,lat,lon,source
해군사관학교 박물관,kculture,museum,경상남도,경상남도 창원시 진해구 중원로 1  (남빈동),35.144833408,128.658439077,public
충청남도 산림박물관,kculture,museum,세종특별자치시,세종특별자치시 금남면 산림박물관길 110,36.4352476,127.234899536,public
미래엔교과서박물관,kculture,museum,세종특별자치시,세종특별자치시 연동면 청연로 492-14,36.551116251,127.336332651,public
한국여인생활사박물관,kculture,museum,세종특별자치시,"세종특별자치시  조치원읍 안터길 107, 1층",36.629771716,127.28729431,public
세종시립민속박물관,kculture,museum,세종특별자치시,"세종특별자치시 전의면 금사길 75, 세종시립민속박물관",36.608498451,127.170402573,public
연기향토박물관,kculture,museum,세종특별자치시,"세종특별자치시 연서면 양대길 34-4, 연기향토박물관",36.595707828,127.207460079,public
세종전통장류박물관,kculture,museum,세종특별자치시,세종특별자치시 전동면 배일길 90-43,36.675624929,127.259236082,public
여성생활사박물관,kculture,museum,경기도,"경기도 여주시 강천면 강천로 324-20, 여성생활사박물관",37.243490615,127.707958057,public
옹청박물관,kculture,museum,경기도,"경기도 여주시 산북면 금품2로 132, 옹기동산청학박물관",37.389437305,127.448151834,public
여주곤충박물관,kculture,museum,경기도,경기도 여주시 명성로 114-146 (능현동),37.259799776,127.663275411,public
죽포미술관,kculture,museum,경기도,"경기도 여주시 산북면 고촌길 26-10, 죽포미술관",37.409645345,127.442699057,public
여주미술관테마파트&갤러리,kculture,museum,경기도,경기도 여주시 세종로 394-36 (점봉동),37.264968894,127.636460222,public
목아박물관,kculture,museum,경기도,"경기도 여주시 강천면 이문안길 21, 학예연구실",37.288609379,127.687776856,public
한국교원대학교 교육박물관,kculture,museum,충청북도,충청북도 청주시 흥덕구 강내면 태성탑연로 250-0  (한국교원대학교),36.607608217,127.358583979,public
운보미술관,kculture,museum,충청북도,충청북도 청주시 청원구 내수읍 형동2길 92-41,36.691919333,127.564967277,public
신미술관,kculture,museum,충청북도,"충청북도 청주시 서원구 호국로97번길 30-0  (사직동,신미술관)",36.637838355,127.4757059,public
스페이스몸 미술관,kculture,museum,충청북도,충청북도 청주시 흥덕구 풍년로 162 (가경동),36.626780224,127.432807484,public
청주시립미술관,kculture,museum,충청북도,충청북도 청주시 서원구 충렬로18번길 50  (사직동),36.634699313,127.478302888,public
청주시립대청호미술관,kculture,museum,충청북도,충청북도 청주시 상당구 문의면 대청호반로 721-0  (문의문화재단지),36.50809386,127.493118335,public
쉐마미술관,kculture,museum,충청북도,충청북도 청주시 청원구 내수읍 내수로 241-0,36.695068861,127.500000252,public
우민아트센터,kculture,museum,충청북도,충청북도 청주시 상당구 사북로 164  (북문로3가),36.644522182,127.489133104,public
한국잠사박물관,kculture,museum,충청북도,충청북도 청주시 흥덕구 강내면 청주역로 213-52,36.638636885,127.382286441,public
충북대학교박물관,kculture,museum,충청북도,"충청북도 청주시 서원구 충대로 1-0  (개신동,충북대학교)",36.628185701,127.459340615,public
청주대학교박물관,kculture,museum,충청북도,"충청북도 청주시 청원구 대성로 298-0  (내덕동,청주대학교)",36.651739664,127.492690635,public
예뿌리 민속박물관,kculture,museum,충청북도,충청북도 청주시 상당구 가덕면 금거1길 10-0,36.582834225,127.59787604,public
청주백제유물전시관,kculture,museum,충청북도,충청북도 청주시 흥덕구 1순환로438번길 9  (신봉동),36.652488373,127.4695196,public
청주시한국공예관,kculture,museum,충청북도,"충청북도 청주시 청원구 상당로 314-0  (내덕동,청주첨단문화산업단지)",36.657004028,127.489937899,public
청주고인쇄박물관,kculture,museum,충청북도,충청북도 청주시 흥덕구 직지대로 713  (운천동),36.644353889,127.471408235,public
부산광역시립박물관,kculture,museum,부산광역시,부산광역시 남구 유엔평화로 63 (대연동),35.129137857,129.094947376,public
