contentid,contentTypeId,title,addr1,mapx,mapy,cat1,cat2,cat3
605497,12,보성사터,서울특별시 종로구 우정국로 55 (견지동),126.9827509785,37.5739784579,A02,A0201,A02010700
126516,12,보신각터,서울특별시 종로구 종로 54,126.9835760212,37.5698150675,A02,A0201,A02010700
316294,12,본원정사(서울),서울특별시 강북구 삼각산로 1,127.0052887931,37.6372881685,A02,A0201,A02010800
126503,12,봉원사(서울),서울특별시 서대문구 봉원사길 120 (봉원동),126.9472292784,37.5717780764,A02,A0201,A02010800
1115042,12,봉화산(서울),서울특별시 중랑구 묵동,127.0870155001,37.608354116,A01,A0101,A01010400
1115299,12,봉화산근린공원,서울특별시 중랑구 봉화산로45길,127.0922455148,37.610609504,A02,A0202,A02020700
3013027,12,봉화산옹기테마공원,서울특별시 중랑구 신내로21길 116 (신내동),127.0885346818,37.6127064158,A02,A0202,A02020600
1367251,12,부암동,서울특별시 종로구 창의문로 145,126.9640854894,37.5924870824,A02,A0203,A02030100
822384,12,북서울꿈의숲,서울특별시 강북구 월계로 173 (번동),127.0445440464,37.619724251,A02,A0202,A02020700
809190,12,북악산,서울특별시 종로구 청운동,126.9737151476,37.5931538442,A01,A0101,A01010400
129500,12,북악산 숙정문,서울특별시 종로구 삼청동,126.9811144048,37.5955536984,A02,A0201,A02010300
126943,12,북악스카이 팔각정,서울특별시 종로구 북악산로 267 (평창동),126.9805642714,37.6020279351,A02,A0202,A02020700
2661492,12,북정마을,서울특별시 성북구 성북로23길 87 (성북동),126.9924967812,37.5927014565,A02,A0203,A02030100
3025266,12,북촌 한옥청,서울특별시 종로구 북촌로12길 29-1 (가회동),126.9856671302,37.5827747096,A02,A0203,A02030400
130903,12,북촌문화센터,서울특별시 종로구 계동길 37 (계동),126.9867060298,37.5790529392,A02,A0203,A02030400
2993183,12,북촌전통공예체험관,서울특별시 종로구 북촌로12길 24-5 (가회동),126.9861254303,37.5824719752,A02,A0203,A02030400
126537,12,북촌한옥마을,서울특별시 종로구 계동길 37 (계동),126.9867060298,37.5790529392,A02,A0201,A02010600
2946075,12,북촌한옥마을 감고당길,서울특별시 종로구 송현동,126.9824147854,37.5779529898,A02,A0203,A02030600
3339374,12,북파크라운지,서울특별시 용산구 이태원로 294 (한남동),127.0025028924,37.5409243201,A02,A0203,A02030400
2783363,12,북한산 백운대(우이동),서울특별시 강북구 도선사길 234 (우이동),126.9909450591,37.6583104651,A01,A0101,A01010400
2779558,12,북한산 족두리봉,서울특별시 은평구 진흥로 325 (불광동),126.9449506033,37.6108068309,A01,A0101,A01010400
126482,12,불암산,서울특별시 노원구 상계동,127.0949159758,37.6637533728,A01,A0101,A01010400
2773346,12,빨래골,서울특별시 강북구 수유동 산127-1,127.0019471132,37.6484562534,A02,A0201,A02010600
1117141,12,사가정공원,서울특별시 중랑구 사가정로72길 47,127.0957821951,37.5793243143,A02,A0202,A02020700
126523,12,사육신공원,서울특별시 동작구 노량진로 191 (노량진동),126.9493751733,37.5135098862,A02,A0202,A02020700
127942,12,사직공원(서울),서울특별시 종로구 사직로 89 (사직동),126.9687216489,37.5758446558,A02,A0202,A02020700
753994,12,살곶이체육공원,서울특별시 성동구 중랑천서자전거길 209 (사근동),127.0504648193,37.5540292149,A02,A0202,A02020700
2773287,12,삼각어린이공원,서울특별시 구로구 구로동,126.8920140718,37.5014519273,A02,A0202,A02020700
2774468,12,삼룡사,서울특별시 중랑구 용마산로112나길 41,127.1017033858,37.5966057467,A02,A0201,A02010800
127557,12,삼천사(서울),서울특별시 은평구 연서로54길 127 (진관동),126.9524990219,37.6423033033,A02,A0201,A02010800
126488,12,삼청공원,서울특별시 종로구 삼청로 156 (삼청동),126.982819993,37.5889267212,A02,A0202,A02020700
2507433,12,삼해소주,서울특별시 마포구 월드컵북로 109 (성산동),126.9135964825,37.5629646096,A02,A0203,A02030400
3006983,12,삿갓봉근린공원,서울특별시 노원구 한글비석로 346 노원구어린이도서관,127.0763178356,37.658023148,A02,A0202,A02020700
