sido,sigungu,crash_count,death_count,severe_count,injury_count,danger_score
서울,마포구,81.0,13.0,55.0,16.0,0.0747
서울,서대문구,74.0,3.0,71.0,1.0,0.0635
서울,서초구,147.0,3.0,148.0,5.0,0.1284
서울,성동구,45.0,1.0,33.0,14.0,0.0348
서울,성북구,120.0,2.0,120.0,6.0,0.1039
서울,송파구,339.0,5.0,202.0,127.0,0.2497
서울,양천구,223.0,5.0,185.0,32.0,0.1809
서울,영등포구,211.0,8.0,154.0,37.0,0.1657
서울,용산구,93.0,2.0,96.0,5.0,0.0826
서울,은평구,183.0,2.0,161.0,40.0,0.1542
서울,종로구,161.0,10.0,161.0,1.0,0.1483
서울,중구,93.0,4.0,89.0,5.0,0.0815
서울,중랑구,358.0,11.0,312.0,46.0,0.3025
서울특별시,강남구,219.0,4.0,123.0,88.0,0.1593
서울특별시,강동구,623.0,9.0,272.0,314.0,0.427
서울특별시,강북구,404.0,11.0,168.0,236.0,0.2879
서울특별시,강서구,379.0,6.0,152.0,186.0,0.2508
서울특별시,관악구,309.0,7.0,154.0,134.0,0.2191
서울특별시,광진구,464.0,6.0,199.0,227.0,0.3126
서울특별시,구로구,481.0,6.0,199.0,250.0,0.3239
서울특별시,금천구,193.0,5.0,103.0,89.0,0.1424
서울특별시,노원구,516.0,11.0,174.0,276.0,0.334
서울특별시,도봉구,339.0,5.0,160.0,120.0,0.2242
서울특별시,동대문구,1024.0,13.0,404.0,500.0,0.6716
서울특별시,동작구,396.0,9.0,188.0,200.0,0.284
서울특별시,마포구,227.0,2.0,104.0,93.0,0.1494
서울특별시,서대문구,134.0,7.0,77.0,32.0,0.098
서울특별시,서초구,114.0,1.0,50.0,57.0,0.0758
서울특별시,성동구,375.0,6.0,139.0,205.0,0.2478
서울특별시,성북구,280.0,1.0,124.0,132.0,0.1851
서울특별시,송파구,1584.0,13.0,546.0,825.0,1.0
서울특별시,양천구,492.0,10.0,191.0,239.0,0.325
서울특별시,영등포구,1128.0,12.0,375.0,646.0,0.7242
서울특별시,용산구,113.0,0.0,60.0,57.0,0.0798
서울특별시,은평구,410.0,11.0,174.0,193.0,0.2809
서울특별시,종로구,124.0,3.0,65.0,43.0,0.086
서울특별시,중구,97.0,2.0,78.0,21.0,0.0781
서울특별시,중랑구,786.0,8.0,276.0,359.0,0.4862
세종,세종,32.0,0.0,17.0,10.0,0.0197
세종특별자치시,세종특별자치시,63.0,2.0,25.0,28.0,0.0407
울산,남구,88.0,0.0,85.0,4.0,0.0719
울산,동구,30.0,0.0,32.0,1.0,0.025
울산,북구,19.0,0.0,11.0,8.0,0.0121
울산,울주군,14.0,0.0,14.0,0.0,0.0101
울산,중구,60.0,2.0,53.0,6.0,0.0494
울산광역시,남구,194.0,4.0,105.0,77.0,0.139
울산광역시,동구,31.0,1.0,20.0,11.0,0.0228
울산광역시,북구,39.0,0.0,20.0,17.0,0.0253
울산광역시,중구,190.0,3.0,79.0,99.0,0.1281
인천,계양구,7.0,0.0,7.0,0.0,0.0042
인천,남동구,32.0,2.0,30.0,2.0,0.0275
인천,미추홀구,30.0,3.0,28.0,1.0,0.027
인천,부평구,34.0,3.0,21.0,8.0,0.0261
인천,서구,15.0,1.0,14.0,1.0,0.0121
인천,연수구,4.0,0.0,3.0,1.0,0.0014
인천광역시,계양구,124.0,4.0,81.0,40.0,0.0955
인천광역시,남구,12.0,0.0,7.0,5.0,0.007
인천광역시,남동구,85.0,2.0,36.0,40.0,0.0565
인천광역시,미추홀구,33.0,1.0,32.0,5.0,0.0284
인천광역시,부평구,141.0,3.0,60.0,74.0,0.0966
인천광역시,서구,44.0,0.0,20.0,25.0,0.0289
인천광역시,연수구,26.0,0.0,10.0,15.0,0.0154
인천광역시,중구,11.0,1.0,8.0,2.0,0.0079
전남,고흥군,24.0,0.0,24.0,0.0,0.0185
