start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index
,,,,0.8,3.0,자전거보행자겸용도로,,1,0.1916
,,,,0.4,3.0,자전거보행자겸용도로,,1,0.1898
,,,,0.1,2.0,자전거보행자겸용도로,,1,0.1133
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,1.8,3.0,자전거보행자겸용도로,,1,0.1959
,,,,2.0,3.0,자전거보행자겸용도로,,1,0.1967
,,,,1.6,3.0,자전거보행자겸용도로,,1,0.195
,,,,1.6,3.0,자전거보행자겸용도로,,1,0.195
,,,,0.7,1.8,자전거보행자겸용도로,,0,0.1008
,,,,0.7,1.8,자전거보행자겸용도로,,0,0.1008
,,,,1.0,3.0,자전거보행자겸용도로,,1,0.1924
,,,,1.1,3.0,자전거보행자겸용도로,,1,0.1929
,,,,1.2,3.0,자전거보행자겸용도로,,1,0.1933
,,,,1.2,3.0,자전거보행자겸용도로,,1,0.1933
,,,,0.3,1.2,자전거전용도로,,0,0.0539
,,,,0.2,3.0,자전거보행자겸용도로,,1,0.189
,,,,0.2,3.0,자전거보행자겸용도로,,1,0.189
,,,,0.1,3.0,자전거보행자겸용도로,,1,0.1886
,,,,0.6,3.0,자전거보행자겸용도로,,1,0.1907
,,,,0.6,3.0,자전거보행자겸용도로,,1,0.1907
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.4,3.0,자전거보행자겸용도로,,1,0.1898
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.8,2.0,자전거보행자겸용도로,,1,0.1163
,,,,0.5,3.0,자전거보행자겸용도로,,1,0.1903
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.74,3.0,,Y,1,0.1913
,,,,0.19,1.5,,Y,0,0.076
,,,,0.54,1.5,,Y,0,0.0775
,,,,0.54,1.5,,Y,0,0.0775
,,,,1.03,1.5,,Y,0,0.0797
,,,,1.03,1.5,,Y,0,0.0797
,,,,0.96,1.5,,Y,0,0.0794
,,,,0.96,1.5,,Y,0,0.0794
,,,,0.9,1.5,,Y,0,0.0791
,,,,0.9,1.5,,Y,0,0.0791
,,,,1.2,1.5,,Y,0,0.0804
,,,,1.2,1.5,,Y,0,0.0804
,,,,2.08,1.5,,Y,0,0.0842
,,,,2.08,1.5,,Y,0,0.0842
,,,,1.78,1.5,,Y,0,0.0829
,,,,1.78,1.5,,Y,0,0.0829
,,,,1.43,2.0,,Y,1,0.119
,,,,1.43,2.0,,Y,1,0.119
,,,,1.91,2.0,,Y,1,0.1211
,,,,1.91,2.0,,Y,1,0.1211
,,,,0.96,1.8,,Y,0,0.1019
,,,,0.96,1.8,,Y,0,0.1019
,,,,0.7,2.35,,Y,1,0.1422
,,,,0.36,1.5,,Y,0,0.0768
,,,,0.64,1.5,,Y,0,0.078
,,,,1.25,2.0,,Y,1,0.1182
,,,,2.3,1.5,,Y,0,0.0851
,,,,0.07,1.5,,Y,0,0.0755
,,,,0.07,1.5,,Y,0,0.0755
,,,,0.07,1.5,,Y,0,0.0755
,,,,0.07,1.5,,Y,0,0.0755
,,,,0.05,1.5,,Y,0,0.0754
,,,,0.05,1.5,,Y,0,0.0754
,,,,0.28,1.5,,Y,0,0.0764
,,,,0.31,3.0,,Y,1,0.1895
,,,,0.33,2.0,,Y,1,0.1143
,,,,0.33,2.0,,Y,1,0.1143
,,,,0.79,2.0,,Y,1,0.1163
,,,,1.7,1.8,,Y,0,0.1051
,,,,0.3,1.5,,Y,0,0.0765
,,,,0.62,2.2,,Y,1,0.1306
,,,,1.6,2.0,,Y,1,0.1197
,,,,0.3,2.35,,Y,1,0.1405
,,,,0.3,2.35,,Y,1,0.1405
,,,,0.28,2.35,,Y,1,0.1404
,,,,0.28,2.35,,Y,1,0.1404
,,,,0.08,2.35,,Y,1,0.1395
,,,,0.08,2.35,,Y,1,0.1395
,,,,0.1,2.35,,Y,1,0.1396
,,,,0.1,2.35,,Y,1,0.1396
,,,,0.46,2.35,,Y,1,0.1412
,,,,0.46,2.35,,Y,1,0.1412
,,,,0.4,1.5,,Y,0,0.0769
,,,,0.7,1.5,,Y,0,0.0782
,,,,0.7,1.5,,Y,0,0.0782
,,,,0.7,1.5,,Y,0,0.0782
,,,,0.7,1.5,,Y,0,0.0782
,,,,1.5,1.5,,Y,0,0.0817
,,,,1.5,1.5,,Y,0,0.0817
,,,,1.2,1.2,,Y,0,0.0578
,,,,1.2,1.2,,Y,0,0.0578
,,,,0.4,3.0,자전거보행자겸용도로,,1,0.1898
,,,,0.4,1.5,자전거보행자겸용도로,,0,0.0769
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.9,4.0,자전거보행자겸용도로,,1,0.2673
,,,,0.9,4.0,자전거보행자겸용도로,,1,0.2673
,,,,0.8,2.0,자전거보행자겸용도로,,1,0.1163
,,,,2.3,3.0,자전거전용도로,,1,0.198
,,,,2.3,3.0,자전거전용도로,,1,0.198
,,,,0.6,2.0,자전거보행자겸용도로,,1,0.1154
,,,,0.8,2.0,자전거보행자겸용도로,,1,0.1163
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,0.6,2.0,자전거보행자겸용도로,,1,0.1154
,,,,0.6,2.0,자전거보행자겸용도로,,1,0.1154
,,,,0.6,4.0,자전거보행자겸용도로,,1,0.266
,,,,0.6,4.0,자전거보행자겸용도로,,1,0.266
,,,,0.1,2.0,자전거보행자겸용도로,,1,0.1133
,,,,0.1,2.0,자전거보행자겸용도로,,1,0.1133
,,,,1.3,2.0,자전거보행자겸용도로,,1,0.1184
,,,,1.4,2.0,자전거보행자겸용도로,,1,0.1189
,,,,0.8,2.4,자전거보행자겸용도로,,1,0.1464
,,,,5.5,2.0,자전거전용도로,,1,0.1365
,,,,1.2,2.4,자전거보행자겸용도로,,1,0.1481
,,,,0.1,2.0,자전거보행자겸용도로,,1,0.1133
,,,,0.3,2.0,자전거보행자겸용도로,,1,0.1141
,,,,1.3,3.0,자전거보행자겸용도로,,1,0.1937
,,,,6.0,2.5,자전거전용도로,,1,0.1763
,,,,0.2,2.5,자전거전용도로,,1,0.1514
,,,,5.7,2.5,자전거전용도로,,1,0.175
,,,,0.4,3.0,자전거보행자겸용도로,,1,0.1898
,,,,2.2,3.0,자전거보행자겸용도로,,1,0.1976
,,,,1.9,2.0,자전거전용도로,,1,0.121
,,,,1.9,2.0,자전거전용도로,,1,0.121
,,,,2.4,2.0,자전거전용도로,,1,0.1232
,,,,2.9,2.0,자전거전용도로,,1,0.1253
,,,,2.3,2.0,자전거전용도로,,1,0.1227
,,,,0.5,3.4,자전거전용도로,,1,0.2204
,,,,5.5,2.0,자전거전용도로,,1,0.1365
,,,,5.6,2.0,자전거전용도로,,1,0.1369
,,,,0.8,3.0,자전거보행자겸용도로,,1,0.1916
,,,,1.0,3.0,자전거보행자겸용도로,,1,0.1924
,,,,1.1,3.0,자전거보행자겸용도로,,1,0.1929
,,,,0.8,3.0,자전거보행자겸용도로,,1,0.1916
,,,,1.1,3.0,자전거보행자겸용도로,,1,0.1929
,,,,0.4,3.0,자전거보행자겸용도로,,1,0.1898
,,,,0.5,2.0,자전거전용도로,,1,0.115
,,,,1.7,2.0,자전거전용도로,,1,0.1202
,,,,4.8,2.0,자전거전용도로,,1,0.1335
,,,,4.4,2.0,자전거전용도로,,1,0.1318
,,,,0.3,3.0,자전거보행자겸용도로,,1,0.1894
,,,,0.3,3.6,자전거전용도로,,1,0.2346
,,,,2.5,3.0,자전거전용도로,,1,0.1989
,,,,3.4,3.0,자전거전용도로,,1,0.2027
,,,,1.9,3.0,자전거전용도로,,1,0.1963
,,,,5.0,4.0,자전거전용도로,,1,0.2849
,,,,5.1,4.0,자전거전용도로,,1,0.2853
,,,,1.4,2.6,자전거전용도로,,1,0.164
,,,,2.2,2.6,자전거전용도로,,1,0.1675
,,,,0.9,3.0,자전거전용도로,,1,0.192
,,,,0.2,3.6,자전거전용도로,,1,0.2342
,,,,0.6,3.6,자전거전용도로,,1,0.2359
,,,,1.7,3.6,자전거전용도로,,1,0.2406
,,,,0.6,3.6,자전거전용도로,,1,0.2359
,,,,1.8,3.6,자전거전용도로,,1,0.241
,,,,0.6,3.6,자전거전용도로,,1,0.2359
,,,,0.7,3.6,자전거전용도로,,1,0.2363
,,,,69.8,2.0,,,1,0.4129
,,,,1.69,1.5,,,0,0.0825
,,,,1.32,1.5,,,0,0.0809
,,,,1.06,2.8,,,1,0.1776
,,,,0.59,3.0,,,1,0.1907
,,,,0.72,1.5,,,0,0.0783
,,,,0.93,3.2,,,1,0.2072
,,,,2.91,2.6,,,1,0.1705
,,,,0.75,1.5,,,0,0.0784
,,,,0.1,2.0,자전거보행자겸용도로,,1,0.1133
,,,,0.2,3.5,자전거보행자겸용도로,,1,0.2266
,,,,0.1,3.0,자전거보행자겸용도로,,1,0.1886
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,0.8,1.5,자전거보행자겸용도로,,0,0.0787
,,,,2.2,3.0,자전거보행자겸용도로,,1,0.1976
,,,,1.2,3.7,자전거보행자겸용도로,,1,0.246
,,,,4.0,3.0,자전거보행자겸용도로,,1,0.2053
,,,,3.1,1.5,자전거보행자겸용도로,,0,0.0886
,,,,0.7,2.0,자전거보행자겸용도로,,1,0.1159
,,,,0.1,2.0,자전거보행자겸용도로,,1,0.1133
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,1.0,2.0,자전거보행자겸용도로,,1,0.1172
,,,,0.3,2.0,자전거보행자겸용도로,,1,0.1141
,,,,0.3,2.0,자전거보행자겸용도로,,1,0.1141
,,,,0.5,3.0,자전거보행자겸용도로,,1,0.1903
,,,,0.5,3.0,자전거보행자겸용도로,,1,0.1903
,,,,0.2,3.0,자전거보행자겸용도로,,1,0.189
,,,,0.1,1.5,자전거보행자겸용도로,,0,0.0757
,,,,0.4,2.0,자전거보행자겸용도로,,1,0.1146
,,,,0.5,2.0,자전거보행자겸용도로,,1,0.115
,,,,0.2,3.0,자전거보행자겸용도로,,1,0.189
,,,,0.1,1.5,자전거보행자겸용도로,,0,0.0757
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
,,,,0.2,2.0,자전거보행자겸용도로,,1,0.1137
