x,y,distance,install_type,is_24h,has_restricted_hours
127.088479198,37.581648187,11512.18062,,False,False
127.093664575,37.615988847,12977.297806,,False,False
127.085867653,37.596612781,11581.533113,,False,False
127.084709218,37.587514423,11246.788175,,False,False
127.07266343,37.592855138,10208.720892,,False,False
127.096700678,37.592689239,12529.913658,,False,False
127.037526209,37.624938259,8742.409998,기계식|,False,False
127.077844473,37.611655156,11356.299409,,False,False
127.077620635,37.610236826,11277.270002,,False,False
127.079616514,37.601791718,11146.93816,,False,False
127.045245321,37.626500539,9415.379709,기계식|,False,False
127.009320618,37.619691209,6545.043406,기계식|,False,False
127.090019795,37.597219683,11997.254801,,False,False
127.104959018,37.6182439,14104.915598,,False,False
127.080476955,37.573867113,10622.732364,,False,False
127.087756588,37.587403527,11542.811269,,False,False
127.012706052,37.621404264,6872.329169,기계식|,False,False
127.104960165,37.605967528,13681.271454,,False,False
127.085551231,37.597346677,11572.002124,,False,False
127.020017649,37.615269063,6831.764863,기계식|,False,False
127.035741676,37.633998724,9276.605465,기계식|,False,False
127.075706918,37.606465482,10951.715662,,False,False
127.091463252,37.604030281,12339.068639,,False,False
127.085416388,37.619007596,12356.610215,,False,False
127.076286413,37.595114453,10620.552031,,False,False
127.103512642,37.613395466,13790.975604,,False,False
127.102897933,37.61258548,13704.739236,,False,False
127.108591892,37.603548283,13957.292857,,False,False
127.036947297,37.625093723,8711.765524,기계식|,False,False
127.039658993,37.630994587,9321.222665,기계식|,False,False
127.094372376,37.611204974,12859.566441,,False,False
127.038586103,37.632218471,9335.6252,기계식|,False,False
127.086101124,37.615583324,12270.579156,,False,False
127.026477509,37.638288329,9043.185316,기계식|,False,False
127.03199293,37.641699365,9642.072803,기계식|,False,False
127.104789306,37.61195303,13859.8911,,False,False
127.031503087,37.635771126,9141.523089,기계식|,False,False
127.026994626,37.637172744,8981.966389,기계식|,False,False
127.107124646,37.605939214,13886.666103,,False,False
127.033774263,37.616018249,7861.726637,기계식|,False,False
127.025826544,37.626798156,8086.548239,수동식|,False,False
127.092641657,37.606097582,12518.391883,기계식|,False,False
126.975860701,37.563892786,119.374112,,False,False
127.041644048,37.57716508,6820.239978,,False,False
127.027024394,37.627111672,8186.902722,기계식|,False,False
127.022294231,37.62869362,8019.70428,기계식|,False,False
127.030374902,37.62683888,8384.597285,기계식|,False,False
126.8942305,37.579430011,8190.246942,기계식|,True,False
126.950511382,37.54441545,3121.37765,기계식|,False,False
126.9416006,37.54789454,3687.11173,기계식|,True,False
126.950043208,37.541499659,3347.758648,기계식|,True,False
126.8972535,37.55670234,7779.88018,기계식|,True,False
126.902159133,37.566213933,7256.52246,기계식|,True,False
126.904409885,37.562983851,7029.478853,기계식|,True,False
126.903218123,37.562633068,7149.297188,기계식|,True,False
126.945383423,37.539445321,3833.392376,기계식|,True,False
126.905677061,37.555445978,6956.461674,기계식|,True,False
126.902376183,37.560305594,7242.092757,기계식|,True,False
126.910509741,37.555929892,6470.948654,기계식|,True,False
126.896893908,37.555663957,7826.252515,기계식|,True,False
127.024722442,37.638013124,8921.045925,기계식|,False,False
126.894742135,37.578483973,8122.760247,기계식|,True,False
126.931967113,37.547664939,4579.77026,기계식|,True,False
126.908795281,37.568635914,6605.222471,기계식|,True,False
126.900014213,37.574930306,7545.485368,기계식|,True,False
126.935049727,37.547211028,4311.236996,기계식|,True,False
126.952107558,37.547115647,2829.066486,기계식|,True,False
126.922122831,37.564663881,5257.468047,기계식|,True,False
126.945545228,37.547019667,3381.061248,기계식|,True,False
126.942721043,37.542231477,3876.539148,기계식|,True,False
126.899045405,37.570418664,7590.887545,기계식|,True,False
126.946143115,37.556482118,2956.36018,기계식|,True,False
126.896592684,37.566692619,7814.369249,,True,False
126.911924843,37.551713016,6399.039913,기계식|,True,False
126.912508716,37.549623672,6386.037992,기계식|,True,False
126.923592418,37.557629303,5151.69232,기계식|,True,False
126.929118551,37.556388635,4623.25804,기계식|,True,False
127.07331682,37.625372805,11607.969345,기계식|,False,False
126.88357932,37.521661725,10053.517123,기계식|,False,False
126.926258524,37.484136698,9353.192345,,False,False
127.119347493,37.54475706,14594.666784,기계식|,False,False
127.06196848,37.622801339,10515.055814,기타|무인 개방|무인 개방|무인 개방|,False,False
127.062038956,37.62284153,10523.147031,기계식|,False,False
127.09214673,37.484938851,14166.620982,,False,False
