visit_area_nm,x_coord,y_coord,attraction_score_mean,attraction_score_std,visit_count,attraction_score_norm
LG전자 베스트숍 청라점,126.6474763,37.5411486,4.2416,0.0,1,0.6558
LH 김포한강 1단지,126.666754,37.6371103,3.0735,0.0,1,0.1257
LX 지인스퀘어 신세계 타임스퀘어점,126.9055621,37.5171703,4.0638,0.0,1,0.5751
LX22 베이커리 카페,127.4794416,37.6584753,4.0346,0.0603,2,0.5619
M 모텔,126.9808431,37.476035,3.9116,0.0,1,0.5061
M 호텔,127.0491294,37.7356151,3.7907,0.0,1,0.4512
M130,126.9432717,37.3056243,3.9586,0.0,1,0.5274
MC 레저,127.5309963,37.8007216,4.2853,0.0,1,0.6757
MH호텔 중화산동점,127.124207,35.8161277,4.6533,0.0,1,0.8427
NC 큐브 커넬워크 가을도,126.6380421,37.4004163,4.3478,0.1249,2,0.704
NC백화점 고잔점,126.8310158,37.313531,3.9613,0.0946,3,0.5286
NC백화점 수원터미널점,127.0199382,37.2501663,4.2658,0.0,1,0.6668
NC백화점 신구로점,126.8827469,37.501148,4.2213,0.0,1,0.6466
NC백화점 야탑점,127.1274816,37.4109281,4.563,0.0,1,0.8017
NHN,127.1042126,37.4010253,2.8813,0.0,1,0.0385
NoSmokeWithoutFire,127.0156946,37.2727417,4.1686,0.0,1,0.6227
Ofr 서울,126.9717992,37.5801214,4.0147,0.2371,3,0.5529
PPK 키친 광교,127.0546289,37.2943668,4.262,0.0,1,0.6651
PPO,127.0697861,37.0340948,4.3548,0.0,1,0.7072
PPS,126.9720551,37.5314586,4.3206,0.0,1,0.6917
PVCS,126.9973977,37.5345343,4.1168,0.0,1,0.5992
Q 호텔,127.2159624,37.2869777,4.2728,0.0,1,0.67
ROYS 롯데월드몰점,127.1041519,37.5136519,4.2047,0.0,1,0.6391
SBA 서울 애니메이션 센터,126.9833422,37.5599071,4.3242,0.1982,3,0.6933
SETEC,127.072197,37.495900742857145,4.2206,0.1721,7,0.6463
SK 행복충전 삼패 메가 충전소,127.1825188,37.5942852,4.0735,0.0,1,0.5795
SK엔크린 서울 하이패스센터 LPG 충전소,127.1023225,37.3697902,3.9207,0.0,1,0.5102
SL 모텔,126.8963545,37.5270268,3.9079,0.0,1,0.5044
SR 호텔,126.8394628,37.5611254,4.5495,0.188,2,0.7956
Si 호텔,126.8878807,37.471272,3.8441,0.0,1,0.4754
T 팩토리,126.9223949,37.5553454,4.3322,0.1765,7,0.6969
T7 호텔,127.2090284,37.2364679,3.9063,0.0,1,0.5037
TROUBADOUR 홍대점,126.9251507,37.5564572,3.8236,0.0,1,0.4661
TWG tea 성수 낙낙점,127.0658895,37.5463939,4.2739,0.0,1,0.6705
UH FLAT 더 송도,126.6292175,37.4058302,3.9089,0.1006,2,0.5048
VVS 뮤지엄,127.0195552,37.5941309,4.2329,0.0,1,0.6519
W 관광호텔,126.6001195,37.4770628,3.8432,0.1806,2,0.475
W 미니 호텔,127.020565,37.6015757,3.8436,0.0,1,0.4752
W 지우 리조트,127.5232845,37.7997939,4.271,0.1156,2,0.6692
WI 컨벤션,127.0358708,37.2864439,4.4409,0.0,1,0.7462
WO 모텔 용산역,126.9623335,37.5241939,3.8892,0.0,1,0.4959
WWF,127.0021837,37.5373184,4.5034,0.0,1,0.7746
YG 포레스트,127.0453962,37.5462116,2.8472,0.0,1,0.023
YM 프리젠 하우스,127.1060806,36.9968947,3.0778,0.0,1,0.1277
ZARA 강남역점,127.0250976,37.5021911,4.3928,0.2204,2,0.7244
ZARA 눈스퀘어점,126.9824574,37.5635146,4.5354,0.0,1,0.7892
ZARA 롯데 아울렛 서울역점,126.9709363,37.5546032,3.9385,0.0946,2,0.5183
