start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count,tourism_score,district_danger,road_attr_score,safety_score,final_score,tourism_score_v2,final_score_v2
37.745165,127.43601,37.762774,127.444841,2.2,3.3,자전거보행자겸용도로,Y,1,0.2202,0,0,0,0,0.0,0.253623188405797,0.3197935323914762,0.5420886392895835,0.3252531835737501,0.0,0.325253
37.680599,127.375914,37.685996,127.369048,0.88,2.3,자전거보행자겸용도로,Y,1,0.1392,2,0,0,0,0.0813008130081301,0.253623188405797,0.2010981682946117,0.5267197952474869,0.3485522023517441,0.219781,0.403944
37.747258,127.42843,37.773299,127.372598,6.96,7.0,자전거우선도로,Y,1,0.5191,5,0,0,0,0.2032520325203252,0.253623188405797,0.75793275909975,0.6080026343902623,0.4461023936422874,0.269896,0.47276
37.818089,127.326049,37.817447,127.32624,1.21,3.0,자전거우선도로,Y,1,0.1933,0,0,0,0,0.0,0.253623188405797,0.2792335477803663,0.5348346173366242,0.3209007704019745,0.0,0.320901
37.737842,127.431807,37.742902,127.432596,0.68,3.0,자전거우선도로,Y,1,0.1911,0,0,0,0,0.0,0.253623188405797,0.2748156539209609,0.5331336842107448,0.3198802105264469,0.18771,0.394964
37.657749,127.378205,37.67277,127.381994,1.195,3.7,자전거보행자겸용도로,Y,1,0.246,1,0,0,0,0.040650406504065,0.253623188405797,0.3544931284331118,0.5414013048919851,0.3411009455368171,0.193575,0.402271
37.819627,127.514469,37.820657,127.519006,0.49,2.9,자전거보행자겸용도로,Y,1,0.1827,1,3,0,0,0.1138211382113821,0.253623188405797,0.2624626498813773,0.5323447076698377,0.3649352798864554,0.256491,0.422003
37.820778,127.512488,37.825352,127.512452,0.49,2.0,자전거보행자겸용도로,Y,1,0.115,1,3,0,0,0.1138211382113821,0.253623188405797,0.1655395729583003,0.4989356757890485,0.344889860757982,0.259298,0.403081
37.818009,127.511057,37.821309,127.51283,0.47,3.5,자전거보행자겸용도로,Y,1,0.2278,1,3,0,0,0.1138211382113821,0.253623188405797,0.3269113215209353,0.5374962725237287,0.36802621879879,0.25452,0.424306
37.838907,127.505139,37.83798,127.499244,0.55,1.5,자전거보행자겸용도로,Y,0,0.0776,0,0,0,0,0.0,0.253623188405797,0.1121935580396264,0.4910879540880788,0.2946527724528472,0.17513,0.364705
37.6100976,127.1102563,37.6165592295,127.10975613,0.08,1.5,자전거보행자겸용도로,Y,0,0.0756,1,0,1,8,0.0714560236511456,0.253623188405797,0.1082758031077008,0.4879546878339593,0.3213552221608338,0.071456,0.321355
37.58320712,127.084164,37.5792086847,127.0812079775,0.21,1.5,자전거전용도로,Y,0,0.0761,1,0,0,14,0.0661049519586104,0.253623188405797,0.1093594374505738,0.4879546878339593,0.3192147934838197,0.226363,0.383318
37.57920868,127.081208,37.5798072076,127.0757995578,0.32,1.5,자전거전용도로,Y,0,0.0766,1,0,0,12,0.0624685883222468,0.253623188405797,0.1102763588176202,0.4881413189517926,0.3178722266999743,0.062469,0.317872
37.59835362,127.1148164,37.603111399,127.1162801461,0.38,1.5,자전거보행자겸용도로,Y,0,0.0769,3,0,1,0,0.1382113821138211,0.253623188405797,0.1107764977451001,0.4881474988830011,0.3481730521753291,0.293008,0.410092
37.6153857,127.0948865,37.6141617434,127.1009266467,0.54,1.5,자전거보행자겸용도로,Y,0,0.0775,2,1,0,17,0.13660014781966,0.253623188405797,0.112110201551713,0.4910879540880788,0.3492928315807113,0.28027,0.406761
37.61281646,127.1009461,37.6100975955,127.110256286,0.18,1.5,자전거보행자겸용도로,Y,0,0.076,2,0,1,8,0.1121064301552106,0.253623188405797,0.1091093679868339,0.4879546878339593,0.3376153847624598,0.112106,0.337615
37.61446295,127.1051519,37.617958,127.111358,0.8,1.5,자전거보행자겸용도로,Y,0,0.0787,0,0,1,8,0.0308056171470805,0.253623188405797,0.1142774702374591,0.4929241583442724,0.3080767418653957,0.030806,0.308077
37.61311939,127.1123062,37.6144629486,127.1051518655,1.5,1.5,자전거보행자겸용도로,Y,0,0.0817,1,0,1,8,0.0714560236511456,0.253623188405797,0.1201124243913907,0.4961584506924469,0.3262774798759263,0.071456,0.326277
37.61511173,127.0698051,37.6148098051,127.0735263155,2.15,1.5,자전거보행자겸용도로,Y,0,0.0845,2,2,0,29,0.1828085735402808,0.253623188405797,0.1255305961057558,0.4975572558477442,0.3716577829247589,0.341431,0.435107
37.61511173,127.0698051,37.57131973,127.0803241,5.15,1.5,자전거보행자겸용도로,Y,0,0.0974,3,2,0,55,0.2707317073170732,0.253623188405797,0.1505375424797486,0.5098627839472043,0.4142103532951519,0.368042,0.453134
37.61696711,127.0913608,37.6163496296,127.092644,0.52,1.5,자전거전용도로,Y,0,0.0775,4,1,0,14,0.2124464153732446,0.253623188405797,0.1119434885758864,0.4910879540880788,0.3796313386021451,0.333197,0.427932
37.60656359,127.0927248,37.6198943887,127.0837446243,1.77,1.2,자전거전용도로,Y,0,0.0603,7,3,0,40,0.4304508499630451,0.253623188405797,0.0900553572573578,0.4825485929316571,0.4617094957442124,0.485636,0.483784
37.6153857,127.0948865,37.6097690028,127.0989769051,0.42,1.5,자전거보행자겸용도로,Y,0,0.077,3,0,1,20,0.1745750184774575,0.253623188405797,0.1111099236967533,0.4882656240532903,0.3627893818229571,0.306853,0.415701
