route_name,sido,sigungu,start_addr_jibun,start_addr_road,start_lat,start_lon,end_lat,end_lon,length_km,road_id,width_m,is_wide_road,safety_index
신촌지구,경기도,평택시,경기도 평택시 칠원동 584,,37.02472451,127.1042937,37.02472451,127.1042937,0.25,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 575,,37.024463,127.0997982,37.024463,127.0997982,1.1,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 572,,37.025707,127.1047778,37.025707,127.1047778,0.78,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 570,,37.02542199,127.1091563,37.02542199,127.1091563,0.37,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 565,,37.026551,127.107863,37.026551,127.107863,0.18,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 550,,37.026803,127.104286,37.026803,127.104286,0.24,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 537,,37.026833,127.1009828,37.026833,127.1009828,0.22,신촌지구_평택시,,0,
신촌지구,경기도,평택시,경기도 평택시 칠원동 534,,37.0263253,127.1112235,37.0263253,127.1112235,1.23,신촌지구_평택시,,0,
상서재로2길,경기도,평택시,경기도 평택시 동삭동 31-1,,37.016021,127.102468,37.01977866,127.1062757,0.33,상서재로2길_평택시,,0,
동삭로,경기도,평택시,경기도 평택시 칠괴동 598,,37.026325,127.099335,37.026006,127.100081,0.11,동삭로_평택시,,0,
상서재로,경기도,평택시,경기도 평택시 동삭동 21-3,,37.014946,127.10329,37.017658,127.106865,0.55,상서재로_평택시,,0,
삼남로,경기도,평택시,경기도 평택시 칠괴동 40-3,,37.036809,127.0976675,37.027178,127.1003407,1.25,삼남로_평택시,,0,
동삭로,경기도,평택시,경기도 평택시 칠원동 423-24,,37.026006,127.100081,37.026325,127.099335,0.11,동삭로_평택시,,0,
동삭로,경기도,평택시,경기도 평택시 칠괴동 584-1,경기도 평택시 동삭로 455-62 (칠괴동),37.024076,127.093933,37.026487,127.099367,0.45,동삭로_평택시,,0,
