start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count
37.035946,127.05154,37.035946,127.05154,0.25,1.8,자전거전용도로,Y,0,0.0989,0,0,0,0
37.036904,127.047391,37.036904,127.047391,0.31,1.8,자전거전용도로,Y,0,0.0991,0,0,0,0
37.037402,127.049971,37.037402,127.049971,0.12,1.8,자전거전용도로,Y,0,0.0983,0,0,0,0
37.032799,127.041171,37.032799,127.041171,0.12,1.8,자전거전용도로,Y,0,0.0983,0,0,0,0
37.033917,127.041168,37.033917,127.041168,0.09,1.8,자전거전용도로,Y,0,0.0982,0,0,0,0
37.035335,127.043848,37.035335,127.043848,0.39,1.8,자전거전용도로,Y,0,0.0995,0,0,0,0
37.036247,127.051963,37.036247,127.051963,0.25,1.8,자전거전용도로,Y,0,0.0989,0,0,0,0
37.03267,127.054312,37.032625,127.054335,0.07,1.8,자전거전용도로,Y,0,0.0981,1,0,0,0
37.028976,127.054335,37.028976,127.054335,0.07,1.8,자전거전용도로,Y,0,0.0981,1,0,0,0
37.028021,127.054336,37.028021,127.054336,0.1,1.8,자전거전용도로,Y,0,0.0982,1,0,0,0
37.032341,127.067455,37.032341,127.067455,1.09,1.8,자전거전용도로,Y,0,0.1025,1,0,0,0
37.040027,127.062719,37.040027,127.062719,0.9,1.8,자전거전용도로,Y,0,0.1017,0,0,0,0
37.043181,127.057071,37.043181,127.057071,0.37,1.8,자전거전용도로,Y,0,0.0994,1,0,0,0
37.041544,127.054045,37.041544,127.054045,0.28,1.8,자전거전용도로,Y,0,0.099,1,0,0,0
37.037694,127.05036,37.037694,127.05036,0.12,1.8,자전거전용도로,Y,0,0.0983,1,0,0,0
37.039639,127.051303,37.039639,127.051303,0.3,1.8,자전거전용도로,Y,0,0.0991,1,0,0,0
37.034278,127.053719,37.033319,127.05427,0.24,1.8,자전거전용도로,Y,0,0.0988,0,0,0,0
37.03677181,127.069997,37.04096341,127.0669247,0.47,1.7,자전거보행자겸용도로,Y,0,0.0923,0,0,0,0
37.0443379,127.0616204,37.04096341,127.0669247,0.48,1.8,자전거보행자겸용도로,Y,0,0.0999,0,0,0,0
37.056058,127.044634,37.056058,127.044634,0.28,3.0,자전거전용도로,Y,1,0.1893,0,0,0,0
37.057306,127.044022,37.057306,127.044022,0.059,3.0,자전거전용도로,Y,1,0.1884,0,0,0,0
37.058236,127.045439,37.058236,127.045439,0.313,3.0,자전거전용도로,Y,1,0.1895,0,0,0,0
37.058764,127.047209,37.058764,127.047209,0.227,1.5,자전거보행자겸용도로,Y,0,0.0762,0,0,0,0
37.058772,127.051594,37.058772,127.051594,0.062,1.5,자전거보행자겸용도로,Y,0,0.0755,0,0,0,0
37.058991,127.051861,37.058991,127.051861,0.21,3.0,자전거전용도로,Y,1,0.189,0,0,0,0
37.059319,127.051238,37.059319,127.051238,0.123,3.0,자전거전용도로,Y,1,0.1887,0,0,0,0
37.059753,127.050266,37.059753,127.050266,0.196,3.0,자전거전용도로,Y,1,0.189,0,0,0,0
37.058998,127.049353,37.058998,127.049353,0.067,3.0,자전거전용도로,Y,1,0.1884,0,0,0,0
37.058996,127.048015,37.058996,127.048015,0.125,3.0,자전거전용도로,Y,1,0.1887,0,0,0,0
37.060594,127.04623,37.060594,127.04623,0.11,3.0,자전거전용도로,Y,1,0.1886,0,0,0,0
37.059795,127.045385,37.059795,127.045385,0.515,3.0,자전거전용도로,Y,1,0.1903,0,0,0,0
37.061807,127.044573,37.061807,127.044573,0.278,3.0,자전거전용도로,Y,1,0.1893,0,0,0,0
37.061827,127.050442,37.061827,127.050442,0.169,3.0,자전거전용도로,Y,1,0.1889,0,0,0,0
37.061445,127.051144,37.061445,127.051144,0.086,3.0,자전거전용도로,Y,1,0.1885,0,0,0,0
37.062345,127.051032,37.062345,127.051032,0.067,3.0,자전거전용도로,Y,1,0.1884,0,0,0,0
37.063345,127.051031,37.063345,127.051031,0.073,3.0,자전거전용도로,Y,1,0.1884,0,0,0,0
37.064201,127.051031,37.064201,127.051031,0.076,3.0,자전거전용도로,Y,1,0.1885,0,0,0,0
37.059874,127.047431,37.059874,127.047431,1.243,1.5,자전거보행자겸용도로,Y,0,0.0806,0,0,0,0
37.064188,127.050458,37.064188,127.050458,0.076,3.0,자전거전용도로,Y,1,0.1885,0,0,0,0
37.063332,127.050446,37.063332,127.050446,0.077,3.0,자전거전용도로,Y,1,0.1885,0,0,0,0
